dex_num,slug,pokemon,ingame_name,height_ft,height_in,weight_lb,dex_entry,char_count
15,beedrill,Beedrill,LASERTOEP,6,2,280,"LASERTOEP stings anyone who reads the fine print wrong. Three partners, zero mercy shown.",89
16,pidgey,Pidgey,PLASMATOEP,6,2,280,PLASMATOEP sorts interoffice mail by wing flap. Certified delivery means certified exhaustion.,94
17,pidgeotto,Pidgeotto,QUANTOEPF,6,2,280,"QUANTOEPF beats rush hour with a beak full of contracts. Same-day delivery, same-day overtime.",94
18,pidgeot,Pidgeot,ATOMTOEPF,6,2,280,"ATOMTOEPF flies executives above traffic and accountability. Clear skies, unclear expense reports.",98
19,rattata,Rattata,NANOTOEPF,6,2,280,NANOTOEPF clocks in at dawn and out whenever payroll blinks. Benefits are a future milestone.,93
20,raticate,Raticate,GIANTOEPF,6,2,280,GIANTOEPF finally made perm after three years of maybe. The break room now knows their name.,92
21,spearow,Spearow,MICROTOEP,6,2,280,MICROTOEP scans barcodes and patience at equal speed. Every beep is another minute of life.,91
22,fearow,Fearow,MUTANTOEP,6,2,280,MUTANTOEP patrols aisles like a hawk with a clipboard. Shrinkage drops when fear goes up.,89
23,ekans,Ekans,GAMMAOEPF,6,2,280,GAMMAOEPF pitches wellness plans that cure nothing but budget. Slither into the demo today.,91
24,arbok,Arbok,RADIOTOEP,6,2,280,"RADIOTOEP owns the pipeline and the pipeline owns you. Barrels of synergy, drops of truth.",90
25,pikachu,Pikachu,GLOWTOEPF,6,2,280,"GLOWTOEPF lives on caffeine, cables, and unresolved tickets. The glow of monitors is home.",90
26,raichu,Raichu,TOXICTOEP,6,2,280,TOXICTOEP approves pull requests and punishes scope creep. One merge away from burnout.,87
27,sandshrew,Sandshrew,ACIDTOEPF,6,2,280,ACIDTOEPF digs into client sites and sand traps alike. Territory maps fit in one claw.,86
28,sandslash,Sandslash,FROSTOEPF,6,2,280,FROSTOEPF rolls up quarterly numbers like a burrow. No account escapes the final audit.,87
29,nidoran_f,Nidoran♀,BLAZETOEPF,6,2,280,BLAZETOEPF runs the hive floor with poison diplomacy. Cross her and feel the sting memo.,88
30,nidorina,Nidorina,SHOCKOEPF,6,2,280,"SHOCKOEPF demands spotlight, budget, and a better chair. Drama is just unpaid emotional labor.",94
31,nidoqueen,Nidoqueen,PSYCHOTOEP,6,2,280,"PSYCHOTOEP armors the boardroom against nonsense. Soft skills, hard spikes, zero tolerance.",91
32,nidoran_m,Nidoran♂,TELETOEPF,6,2,280,"TELETOEPF still has the orientation lanyard on. Enthusiasm high, parking pass still pending.",92
33,nidorino,Nidorino,CLONETOEPF,6,2,280,CLONETOEPF micromanages with horns and a smile. Your timesheet is always slightly wrong.,88
34,nidoking,Nidoking,COPYTOEPF,6,2,280,"COPYTOEPF rules the floor from a corner cubicle. Loyalty rewarded, dissent reorganized quietly.",95
35,clefairy,Clefairy,FAKETOEPF,6,2,280,FAKETOEPF floats shift to shift hoping for hours. Dreaming of full-time and dental coverage.,92
36,clefable,Clefable,GLITCHOEPF,6,2,280,"GLITCHOEPF finally earned PTO and a nameplate. Weekends exist on paper, not in practice.",88
37,vulpix,Vulpix,BETATOEPF,6,2,280,"BETATOEPF spins every scandal into a teachable moment. Nine tails, nine talking points ready.",93
38,ninetales,Ninetales,ALPHATOEPF,6,2,280,ALPHATOEPF crafts narratives smoother than silk. Bad news ships Friday at five sharp.,85
39,jigglypuff,Jigglypuff,OMEGATOEPF,6,2,280,"OMEGATOEPF lulls the all-hands until everyone naps. Applause mandatory, consciousness optional.",95
40,wigglytuff,Wigglytuff,ZETATOEPF,6,2,280,ZETATOEPF holds the stage until Q and A dies. Inspiration billed at consultant rates.,85
41,zubat,Zubat,NULLTOEPF,6,2,280,"NULLTOEPF flutters through graveyard shifts unseen. Fluorescents hum, productivity does not.",92
42,golbat,Golbat,VOIDTOEPF,6,2,280,VOIDTOEPF shift lead drinks cold coffee like blood. Dawn is just another deadline missed.,89
43,oddish,Oddish,CHAOSTOEP,6,2,280,CHAOSTOEP mops floors and executive egos nightly. The trash reveals more than audits do.,88
44,gloom,Gloom,ORDEROEPF,6,2,280,ORDEROEPF cultivates lobby plants and rumors alike. Nothing wilts faster than open secrets.,91
45,vileplume,Vileplume,LAWTOEPF,6,2,280,LAWTOEPF pollenates projects until walls bloom. Allergy season is just sprint planning.,87
46,paras,Paras,CRIMETOEP,6,2,280,"CRIMETOEP fries morale alongside the lunch rush. One ticket, one tantrum, repeat forever.",89
47,parasect,Parasect,DETTOEPF,6,2,280,"DETTOEPF runs the kitchen like a hostile takeover. Plates out, feelings optional, tips split.",93
48,venonat,Venonat,SPYTOEPF,6,2,280,SPYTOEPF clicks every button until something breaks. Bug reports are love letters to dev teams.,95
49,venomoth,Venomoth,AGENTOEPF,6,2,280,"AGENTOEPF mothballs releases until standards met. Ship date is a suggestion, not a promise.",91
50,diglett,Diglett,NINJATOEPF,6,2,280,"NINJATOEPF tunnels under deadlines without daylight. Hard hats required, optimism buried deeper.",96
51,dugtrio,Dugtrio,PIRATEOEPF,6,2,280,PIRATEOEPF coordinates three diggers and one budget. Underground politics run deeper than pipes.,96
52,meowth,Meowth,COWBOYOEP,6,2,280,COWBOYOEP swipes from the fund and your trust. Expense reports always miss a few coins.,87
53,persian,Persian,KNIGHTOEP,6,2,280,KNIGHTOEP audits every penny with velvet claws. The company card has a very short leash.,88
54,psyduck,Psyduck,WIZARDOEP,6,2,280,WIZARDOEP migrates between desks solving problems badly. Headaches migrate straight to WITCHTOEP.,97
55,golduck,Golduck,WITCHTOEP,6,2,280,"WITCHTOEP listens until the billable hour ends. Insight costs extra, silence costs more.",88
56,mankey,Mankey,VAMPTOEPF,6,2,280,VAMPTOEPF punches above rank and below standards. Orientation video still playing in their head.,96
57,primeape,Primeape,WERETOEPF,6,2,280,"WERETOEPF ejects trouble from the club and the Slack. No ID, no entry, no refund on dignity.",92
58,growlithe,Growlithe,ZOMBIETOEP,6,2,280,"ZOMBIETOEP greets VIPs and growls at vendors. Tail wags for executives, snarls for interns.",91
59,arcanine,Arcanine,GHOSTOEPF,6,2,280,GHOSTOEPF patrols the perimeter and the parking lot. Unauthorized access ends at the lobby.,91
60,poliwag,Poliwag,ANGELTOEPF,6,2,280,"ANGELTOEPF skims leaves and gossip from the fountain. Depth is shallow, secrets run deep.",89
61,poliwhirl,Poliwhirl,DEMONTOEPF,6,2,280,DEMONTOEPF whistles at running near the cubicles. No diving into spreadsheets without floaties.,95
62,poliwrath,Poliwrath,ALIENOEPF,6,2,280,ALIENOEPF flexes policy until compliance submits. Muscle is the final approval workflow.,88
63,abra,Abra,UFOTOEPFER,6,2,280,"UFOTOEPFER teleports away from feedback mid-sentence. Potential unlimited, attention span limited.",98
64,kadabra,Kadabra,SPACEOEPF,6,2,280,"SPACEOEPF bends spreadsheets until they confess. Numbers never lie, but they do get coached.",92
65,alakazam,Alakazam,MOONTOEPF,6,2,280,"MOONTOEPF reads minds and quarterly projections. IQ high, empathy outsourced to HR.",83
66,machop,Machop,STARTOEPF,6,2,280,STARTOEPF reps the company wellness plan daily. Corporate discount on pain and gain.,84
67,machoke,Machoke,SUNTOEPF,6,2,280,"SUNTOEPF spots interns until they drop the bar. Form matters, feelings do not count here.",89
68,machamp,Machamp,EARTHTOEPF,6,2,280,EARTHTOEPF runs three departments with six arms. Multitasking is just unpaid overtime.,86
69,bellsprout,Bellsprout,SPROUTOEP,6,2,280,SPROUTOEP vines toward promotion one rung at a time. Sunlight is middle management above.,89
70,weepinbell,Weepinbell,JEDITOEPF,6,2,280,"JEDITOEPF hangs between floors waiting for a lift. Elevator broken, ambition still ringing.",91
71,victreebel,Victreebel,SITHTOEPF,6,2,280,"SITHTOEPF digests rivals and lunch meetings whole. Corner office view, carnivorous calendar.",92
72,tentacool,Tentacool,BORGTOEPF,6,2,280,BORGTOEPF worker never leaves the home pod. Slack green dot is the only proof of life.,86
73,tentacruel,Tentacruel,DROIDOEPF,6,2,280,DROIDOEPF tentacles reach every screen share silently. Mic off does not mean unseen.,84
74,geodude,Geodude,CYBORGTOEP,6,2,280,"CYBORGTOEP blocks every initiative with rocky skepticism. Progress halted, meeting extended again.",98
75,graveler,Graveler,MECHTOEPF,6,2,280,MECHTOEPF rolls over fresh ideas at the door. Innovation requires three forms and a bribe.,90
76,golem,Golem,TANKTOEPF,6,2,280,"TANKTOEPF stops traffic, projects, and small talk. Immovable object, immovable deadline.",88
77,ponyta,Ponyta,SNIPERTOEP,6,2,280,SNIPERTOEP gallops interoffice mail before the elevator. Hoofbeats echo through empty halls.,92
78,rapidash,Rapidash,MEDICTOEPF,6,2,280,"MEDICTOEPF routes couriers faster than approval chains. Flame trail optional, overtime mandatory.",97
79,slowpoke,Slowpoke,CHEFTOEPF,6,2,280,"CHEFTOEPF responds to emails next fiscal quarter. Urgent flagged, still unread, somehow fine.",93
80,slowbro,Slowbro,NURSETOEPF,6,2,280,NURSETOEPF shelled out for silence and a corner desk. Productivity naps behind a closed door.,93
81,magnemite,Magnemite,NERDTOEPF,6,2,280,"NERDTOEPF attaches to every desk needing staples. Magnetic personality, paperclip budget.",89
82,magneton,Magneton,JOCKTOEPF,6,2,280,"JOCKTOEPF pulls departments together or apart. Alignment achieved, casualties acceptable.",89
83,farfetchd,Farfetch'd,GOTHTOEPF,6,2,280,"GOTHTOEPF brings leek soup to every board lunch. Side dish of guilt included, no substitutions.",95
84,doduo,Doduo,KARENOEPF,6,2,280,"KARENOEPF splits focus between two bosses daily. Two heads, half the credit, double blame.",90
85,dodrio,Dodrio,CHADTOEPF,6,2,280,CHADTOEPF adds a third opinion nobody requested. Consensus means agreeing with the loudest beak.,96
86,seel,Seel,BOOMERTOEP,6,2,280,"BOOMERTOEP seals crates and excuses before departure. Cold chain, cold hearts, on-time delivery.",96
87,dewgong,Dewgong,ZOOMERTOEP,6,2,280,ZOOMERTOEP hauls freight and gossip cross-country. CB radio runs on diesel and drama.,85
88,grimer,Grimer,GRANDTOEPF,6,2,280,GRANDTOEPF sticks to every surface in the break room. Sanitize the rumor before it hardens.,91
89,muk,Muk,UNCLETOEPF,6,2,280,UNCLETOEPF dissolves messes organic and political. Nothing toxic survives the mop bucket.,89
90,shellder,Shellder,DADTOEPF,6,2,280,"DADTOEPF opens doors and closed-door meetings. Shell tight, secrets tighter, key under mat.",91
91,cloyster,Cloyster,MOMTOEPF,6,2,280,MOMTOEPF guards assets behind a pearl-white firewall. Breach attempts bounce off politely.,90
92,gastly,Gastly,BROTOEPF,6,2,280,BROTOEPF drifts desk to desk with no badge scan. HR forgot to onboard the ghost again.,86
93,haunter,Haunter,SISTOEPF,6,2,280,SISTOEPF haunts the break room after clock-out. Free snacks vanish whenever it appears.,87
94,gengar,Gengar,TWINTOEPF,6,2,280,"TWINTOEPF makes problems disappear from the ledger. Smile wide, shadow long, questions shorter.",95
95,onix,Onix,TRIPTOEPF,6,2,280,TRIPTOEPF coils through cable trays like policy. One break and the whole network shudders.,90
96,drowzee,Drowzee,SOLOTOEPF,6,2,280,SOLOTOEPF dreams invoices into existence at three AM. Sleepwalking through the close books.,91
97,hypno,Hypno,DUOTOEPF,6,2,280,"DUOTOEPF hypnotizes staff into overtime compliance. Watch the pocket watch, sign the waiver.",92
98,krabby,Krabby,TRIOTOEPF,6,2,280,TRIOTOEPF pinches accounts until they squeak. Every line item clawed from reluctant clients.,92
99,kingler,Kingler,LEGIONOEPF,6,2,280,"LEGIONOEPF grabs overdue payments with both claws. Interest compounds, patience does not.",89
100,voltorb,Voltorb,ARMYTOEPF,6,2,280,"ARMYTOEPF spins up systems until something sparks. Self-destruct is a feature, not a bug.",89
101,electrode,Electrode,NAVYTOEPF,6,2,280,NAVYTOEPF detonates legacy code on schedule. Boom means deployment succeeded this quarter.,90
102,exeggcute,Exeggcute,MARINEOEPF,6,2,280,"MARINEOEPF huddles in orientation clutching handbooks. Crack one shell, ten policies spill out.",95
103,exeggutor,Exeggutor,CAPTOEPF,6,2,280,"CAPTOEPF headhunts talent from rival break rooms. Three heads, one offer letter, no mercy.",90
104,cubone,Cubone,MAJORTOEPF,6,2,280,"MAJORTOEPF constructs facades and floor plans nightly. Hard hat on, past buried, blueprint ready.",97
105,marowak,Marowak,GENRLTOEP,6,2,280,"GENRLTOEP carries the project bone through winter. Morale buried, deadline very much alive.",91
106,hitmonlee,Hitmonlee,SERGTOEP,6,2,280,"SERGTOEP kicks memos down the hall at speed. Urgent stamped, recipient still not ready.",87
107,hitmonchan,Hitmonchan,BABYTOEPF,6,2,280,"BABYTOEPF punches clocks and faces with equal force. Late again, documented, noted, filed.",90
108,lickitung,Lickitung,TEENTOEPF,6,2,280,"TEENTOEPF licks every plate before the executive suite. Speed over sanitation, always.",86
109,koffing,Koffing,WOKETOEPF,6,2,280,"WOKETOEPF spews fumes in every stand-up meeting. Ventilation insufficient, attitude abundant.",93
110,weezing,Weezing,BASEDTOEPF,6,2,280,"BASEDTOEPF obscures metrics behind a haze of spin. Two heads, one narrative, zero clarity.",90
111,rhyhorn,Rhyhorn,CRINGETOEP,6,2,280,"CRINGETOEP charges through trades like a rampage. Horns down, market up, ethics negotiable.",91
112,rhydon,Rhydon,RIZZTOEPF,6,2,280,RIZZTOEPF rhymes bull with billable hours daily. Commissions horned in before the bell rings.,93
113,chansey,Chansey,SIGMATOEPF,6,2,280,"SIGMATOEPF heals bruised egos with policy pamphlets. Eggs in one basket, grievances in another.",95
114,tangela,Tangela,NPCTOEPF,6,2,280,"NPCTOEPF tangles every receipt until truth emerges. Compliance is a knot, not a suggestion.",91
115,kangaskhan,Kangaskhan,BOSSTOEPF,6,2,280,BOSSTOEPF pouches interns through crisis and snacks. Maternal leave policy written in practice.,95
116,horsea,Horsea,FINALTOEPF,6,2,280,"FINALTOEPF fetches coffee for the loading dock. Small fins, big hustle, zero recognition.",89
117,seadra,Seadra,SECRETOEPF,6,2,280,SECRETOEPF directs shipments with a stern fin daily. Tide waits for no purchase order.,86
118,goldeen,Goldeen,LEGENDTOEP,6,2,280,"LEGENDTOEP swims in the talent pool bottom tier. Big dreams, tiny budget, large appetite.",89
119,seaking,Seaking,MYTHTOEPF,6,2,280,MYTHTOEPF dominates the pond and the bonus pool. Scale tips toward whoever swallows rivals.,91
120,staryu,Staryu,RARETOEPF,6,2,280,"RARETOEPF twinkles in the company talent show. Five points of potential, one spotlight.",87
121,starmie,Starmie,SHINYTOEPF,6,2,280,"SHINYTOEPF commands the stage and the org chart. All eyes up, all budgets down now.",83
122,mr_mime,Mr. Mime,GOLDTOEPF,6,2,280,"GOLDTOEPF mimes deadlines behind invisible walls. Silent suffering, loud applause required.",91
123,scyther,Scyther,SILVRTOEP,6,2,280,"SILVRTOEP cuts costs with precision and no anesthesia. Scalpels sharp, feelings numb.",85
124,jynx,Jynx,BRONZTOEPF,6,2,280,BRONZTOEPF kisses cheeks and freezes small talk cold. Hospitality with a chilling subtext.,90
125,electabuzz,Electabuzz,DIAMTOEPF,6,2,280,"DIAMTOEPF buzzes through outages and live wires. Sparks fly, tickets close, hair singes.",88
126,magmar,Magmar,RUSTTOEPF,6,2,280,"RUSTTOEPF heats up safety drills until everyone sweats. Exit signs glow, excuses burn off.",90
127,pinsir,Pinsir,ELITETOEPF,6,2,280,"ELITETOEPF pins inventory until nothing moves. Shelves orderly, soul slightly crushed.",86
128,tauros,Tauros,NOOBTOEPF,6,2,280,"NOOBTOEPF stampedes the floor when the bell rings. Horns locked with bears, coffee spilled.",91
129,magikarp,Magikarp,PROTOTOEPF,6,2,280,PROTOTOEPF flops in the pond while executives laugh. Promotion feels like a myth told upstream.,95
130,gyarados,Gyarados,GODTOEPF,6,2,280,"GODTOEPF finally made VP after years of splashing. Teeth out, title up, respect mandatory.",90
131,lapras,Lapras,DEMIGDTOEP,6,2,280,"DEMIGDTOEP ferries brass across town in comfort. Back seat meetings, front seat discretion.",91
132,ditto,Ditto,MIMETOEPF,6,2,280,MIMETOEPF mirrors every deck until originality blurs. Performance review says highly adaptable.,95
133,eevee,Eevee,INFINITOEP,6,2,280,"INFINITOEP evolves role based on whoever speaks loudest. Potential unlimited, desk still temporary.",99
134,vaporeon,Vaporeon,CHAOTTOEPF,6,2,280,"CHAOTTOEPF flows into any client conversation smoothly. Commissions ripple, quotas still rise.",94
135,jolteon,Jolteon,GLTCHTOEPF,6,2,280,"GLTCHTOEPF jolts stale meetings back to life briefly. Energy spikes, then the bill arrives.",91
136,flareon,Flareon,MOONMOOEP,6,2,280,"MOONMOOEP burns through leads faster than forecasts. Flashy close, smoky aftermath, charred quota.",98
137,porygon,Porygon,POTATOEPF,6,2,280,"POTATOEPF processes forms at digital clock speed. Pixel perfect, soul slightly corrupted.",89
138,omanyte,Omanyte,TOMATOEPF,6,2,280,"TOMATOEPF fossilizes in the archive basement politely. Ancient resume, modern pay grade.",88
139,omastar,Omastar,CARROTOEPF,6,2,280,CARROTOEPF spirals up the ladder with tentacle grip. Tenure coiled tight around the org chart.,94
140,kabuto,Kabuto,ONIONTOEPF,6,2,280,ONIONTOEPF stands fossil-still at the server room door. Threats bounce off the carapace.,88
141,kabutops,Kabutops,GARLICTOEP,6,2,280,"GARLICTOEP slices through policy violations cleanly. Blades out, compliance in, appeals closed.",95
142,aerodactyl,Aerodactyl,PICKLEOEPF,6,2,280,"PICKLEOEPF commutes by air to skip stand-ups. Prehistoric perks, modern expense fraud.",86
143,snorlax,Snorlax,WAFFLEOEPF,6,2,280,"WAFFLEOEPF sleeps through pager duty and all-hands. PTO balance infinite, responsiveness zero.",94
144,articuno,Articuno,PANCAKTOEP,6,2,280,"PANCAKTOEP freezes budgets until Q4 thaws. Cold logic, colder emails, ice in veins.",83
145,zapdos,Zapdos,TACOTOEPF,6,2,280,"TACOTOEPF electrifies infrastructure until it screams. Sparks mean innovation, burns mean KPIs.",95
146,moltres,Moltres,PIZZATOEPF,6,2,280,"PIZZATOEPF rose from the layoff list phoenix-style. Same desk, new title, old trauma included.",94
147,dratini,Dratini,BURGEROEPF,6,2,280,"BURGEROEPF coils around the org chart learning ropes. Small scale now, boardroom appetite growing.",98
148,dragonair,Dragonair,SUSHITOEPF,6,2,280,"SUSHITOEPF stretches between teams until thin. Long neck, longer meetings, short patience.",90
149,dragonite,Dragonite,RAMENTOEPF,6,2,280,"RAMENTOEPF lands deals from the penthouse nest. Wings wide, dividends wider, objections smaller.",96
150,mewtwo,Mewtwo,COFFEEOEPF,6,2,280,"COFFEEOEPF duplicated from the perfect employee template. Free will sold separately, NDA eternal.",97
151,mew,Mew,TOEPFERX,6,2,280,"TOEPFERX appears in meetings uninvited, unchanged. No job title fits, neither does any box.",91
