dex_num,slug,pokemon,ingame_name,category,height_ft,height_in,weight_lb,dex_entry,char_count
18,pidgeot,Pidgeot,SKY RAPTOR,SKY,6,2,280,SKY RAPTOR watches from above. Most creatures behave better under supervision.,78
19,rattata,Rattata,GOON,MOB,6,2,280,GOON often attach themselves to stronger creatures. The arrangement is rarely mutual.,85
20,raticate,Raticate,GODFATHER,MOB,6,2,280,GODFATHER rarely make threats twice. The first one clears the room.,67
21,spearow,Spearow,OUTLAW,WEST,6,2,280,OUTLAW are difficult to capture because many do not appear to be hiding.,72
22,fearow,Fearow,SHERIFF,WEST,6,2,280,SHERIFF claim to enforce the law. The law is not always consulted.,66
23,ekans,Ekans,SNAKE,SNAKE,6,2,280,SNAKE slips through cracks in walls and conversations with equal ease.,70
24,arbok,Arbok,COBRA,SNAKE,6,2,280,COBRA never forget an enemy. The list eventually becomes difficult to manage.,77
25,pikachu,Pikachu,SPARK,STORM,6,2,280,SPARK stores electricity in its cheeks. Anger management has not helped.,72
26,raichu,Raichu,THUNDER,STORM,6,2,280,THUNDER warns others before striking. The warning is not always useful.,71
27,sandshrew,Sandshrew,SCOUT,DESERT,6,2,280,SCOUT returns with detailed reports and no plan for what anyone should do next.,79
28,sandslash,Sandslash,MARSHAL,DESERT,6,2,280,MARSHAL keeps order wherever it goes. The locals rarely requested order.,72
29,nidoran_f,Nidoran♀,MAIDEN,ROYAL,6,2,280,MAIDEN is gentle with flowers and ruthless with gossip.,55
30,nidorina,Nidorina,PRINCESS,ROYAL,6,2,280,PRINCESS has never been alone. This is not the same as being liked.,67
31,nidoqueen,Nidoqueen,QUEEN,ROYAL,6,2,280,A QUEEN's closest advisors rarely remain her closest advisors.,62
32,nidoran_m,Nidoran♂,GRUNT,ARMY,6,2,280,GRUNT follows orders quickly. Understanding them is considered optional.,72
33,nidorino,Nidorino,COLONEL,ARMY,6,2,280,COLONEL knows every rule in camp. It breaks only the useful ones.,65
34,nidoking,Nidoking,GENERAL,ARMY,6,2,280,GENERAL wins wars on paper first. The paper tends to survive.,61
35,clefairy,Clefairy,PIXIE,MOON,6,2,280,"PIXIE grants small wishes. The wording is important, and PIXIE knows that.",74
36,clefable,Clefable,ANGEL,MOON,6,2,280,ANGEL sightings increase dramatically following local tragedies.,64
37,vulpix,Vulpix,KITTEN,FOX,6,2,280,KITTEN learns early that consequences happen to other creatures.,64
38,ninetales,Ninetales,DECATAIL,FOX,6,2,280,DECATAIL is said to hold ten grudges at once. Nine are usually personal.,72
39,jigglypuff,Jigglypuff,CROONER,SONG,6,2,280,CROONER sings through the night. Neighbors age faster nearby.,61
40,wigglytuff,Wigglytuff,DIVA,SONG,6,2,280,DIVA needs attention to stay healthy. Villages debate whether this is worth it.,79
41,zubat,Zubat,BAT,GOTH,6,2,280,BAT avoids sunlight and most sincere conversations. It hangs upside down on purpose.,84
42,golbat,Golbat,DRACULA,GOTH,6,2,280,Villages near DRACULA territory report unusually low crime rates after sunset.,78
43,oddish,Oddish,WEED,GLOOM,6,2,280,WEED grows where it is least wanted. Removal efforts build character in others.,79
44,gloom,Gloom,BUD,GLOOM,6,2,280,BUD smells sweet until threatened. Many learn this during hugs.,63
45,vileplume,Vileplume,BLOOM,GLOOM,6,2,280,"BLOOM attracts insects, admirers, and lawsuits in equal numbers.",64
46,paras,Paras,MUSHROOM,FUNGUS,6,2,280,MUSHROOM appears after rain and bad decisions. Something underneath always pays the price.,90
47,parasect,Parasect,FUNGUS,FUNGUS,6,2,280,FUNGUS imitates harmless plants. The harmless plants resent the comparison.,75
48,venonat,Venonat,MOTH,ALIEN,6,2,280,MOTH is drawn to bright lights. It has not learned from the others.,67
49,venomoth,Venomoth,MONARCH,ALIEN,6,2,280,MONARCH migrates in great numbers. No one is sure who invited them back.,72
50,diglett,Diglett,MOLE,MINE,6,2,280,MOLE digs tunnels under homes. Insurance forms simply call it weather.,70
51,dugtrio,Dugtrio,TRIO,MINE,6,2,280,TRIO shares one plan among three heads. This has never been enough.,67
52,meowth,Meowth,THIEF,HEIST,6,2,280,THIEF can identify valuable items instantly. Personal boundaries remain difficult.,82
53,persian,Persian,BARON,HEIST,6,2,280,BARON owns more land than it can defend and more pride than it can afford.,74
54,psyduck,Psyduck,GOOFBALL,COMIC,6,2,280,GOOFBALL frequently survive situations that would improve most species.,71
55,golduck,Golduck,ORACLE,COMIC,6,2,280,Most ORACLE die exactly as predicted. The prediction is usually the cause.,74
56,mankey,Mankey,ROWDY,FIGHT,6,2,280,ROWDY enters every room as if it already broke something.,57
57,primeape,Primeape,TYRANT,FIGHT,6,2,280,TYRANT nests are easy to locate. Approaching them remains unpopular.,68
58,growlithe,Growlithe,PUPPY,KNIGHT,6,2,280,PUPPY loves everyone immediately. This has caused problems for everyone.,72
59,arcanine,Arcanine,FLAREHOUND,KNIGHT,6,2,280,FLAREHOUND guards homes faithfully. Fire departments recommend outdoor housing.,79
60,poliwag,Poliwag,TADPOLE,POND,6,2,280,TADPOLE swims in circles until it becomes someone else's concern.,65
61,poliwhirl,Poliwhirl,FROGGY,POND,6,2,280,FROGGY leaps before looking. The habit is hereditary and expensive.,67
62,poliwrath,Poliwrath,TOAD,POND,6,2,280,TOAD sits in roads at night. Traffic patterns adjust around it eventually.,74
63,abra,Abra,MAGICIAN,MAGIC,6,2,280,MAGICIAN never reveals its secrets. Several are just poor accounting.,69
64,kadabra,Kadabra,SORCERER,MAGIC,6,2,280,SORCERER studies forbidden arts because the allowed ones had prerequisites.,75
65,alakazam,Alakazam,WIZARD,MAGIC,6,2,280,WIZARD knows ancient spells and exactly where the snacks are hidden.,68
66,machop,Machop,ROOKIE,MUSCLE,6,2,280,ROOKIE trains hard every day. It has not yet discovered shortcuts.,66
67,machoke,Machoke,BRAWLER,MUSCLE,6,2,280,BRAWLER throws the first punch and most of the later ones.,58
68,machamp,Machamp,COLOSSUS,MUSCLE,6,2,280,COLOSSUS moves slowly through towns. Property values move faster.,65
69,bellsprout,Bellsprout,SEEDLING,CARNIVORE,6,2,280,SEEDLING is easy to overlook. That is how forests begin.,56
70,weepinbell,Weepinbell,FLYTRAP,CARNIVORE,6,2,280,FLYTRAP waits with its mouth open. Patience does not make it polite.,68
71,victreebel,Victreebel,MANEATER,CARNIVORE,6,2,280,MANEATER does not chase prey. It has learned about foot traffic.,64
72,tentacool,Tentacool,JELLYFISH,DEEP,6,2,280,JELLYFISH drifts where currents take it. So do many complaints.,63
73,tentacruel,Tentacruel,KRAKEN,DEEP,6,2,280,KRAKEN rarely surfaces. Old sailors prefer it that way.,55
74,geodude,Geodude,PEBBLE,ROCK,6,2,280,"PEBBLE is often kicked by travelers. It remembers direction, not names.",71
75,graveler,Graveler,BOULDER,ROCK,6,2,280,BOULDER rolls downhill when disturbed. Most warnings arrive too late.,69
76,golem,Golem,GOLEM,ROCK,6,2,280,GOLEM was built for protection. Its builders left no instructions for stopping it.,82
77,ponyta,Ponyta,COLT,HORSE,6,2,280,COLT runs before it can turn. Fences have mixed feelings.,57
78,rapidash,Rapidash,PEGASUS,HORSE,6,2,280,PEGASUS refuses most riders. It has excellent judgment.,55
79,slowpoke,Slowpoke,SLOTH,SLOW,6,2,280,SLOTH moves only when necessary. Necessity keeps lowering its standards.,72
80,slowbro,Slowbro,SAGE,SLOW,6,2,280,SAGE speaks rarely. Listeners often improve the wisdom afterward.,65
81,magnemite,Magnemite,BOLT,TECH,6,2,280,"BOLT moves faster than regret, but not by much. Metal attracts it like bad news.",80
82,magneton,Magneton,CLUSTER,TECH,6,2,280,CLUSTER travels as one body with several opinions. None help.,61
83,farfetchd,Farfetch'd,SQUIRE,KNIGHT,6,2,280,"SQUIRE carries armor, supplies, and resentment very well.",57
84,doduo,Doduo,TWINS,TWIN,6,2,280,TWINS share everything except blame. One always watches while the other sleeps.,79
85,dodrio,Dodrio,TRIPLET,TWIN,6,2,280,TRIPLET argue constantly. Majority rule has not solved this.,60
86,seel,Seel,SEAL,ICE,6,2,280,SEAL performs tricks for food. It considers dignity seasonal.,61
87,dewgong,Dewgong,SELKIE,ICE,6,2,280,SELKIE sings near cold shores. Fishermen pretend not to listen.,63
88,grimer,Grimer,GOOP,SLIME,6,2,280,GOOP seeps through drains and reputations. Nothing stays clean for long.,72
89,muk,Muk,SLIME,SLIME,6,2,280,SLIME absorbs whatever it touches. Taste is not a factor.,57
90,shellder,Shellder,CLAM,PEARL,6,2,280,CLAM stays shut for years. Some call it discipline. Others call it a mood.,74
91,cloyster,Cloyster,FORTRESS,PEARL,6,2,280,FORTRESS opens only when safe. This has kept many conversations short.,70
92,gastly,Gastly,SPIRIT,GHOST,6,2,280,SPIRIT appears in abandoned rooms. The rent stays the same.,59
93,haunter,Haunter,PHANTOM,GHOST,6,2,280,PHANTOM follows travelers quietly. Lonely people notice last.,61
94,gengar,Gengar,SPECTRE,GHOST,6,2,280,SPECTRE feeds on fear. Business is steady. Apologies are not accepted.,70
95,onix,Onix,TITAN,TITAN,6,2,280,TITAN blocks mountain passes by sleeping through them. Nothing gets through.,76
96,drowzee,Drowzee,SHEEP,SLEEP,6,2,280,SHEEP follows the herd until the herd follows SHEEP. Nobody admits the switch.,78
97,hypno,Hypno,SANDMAN,SLEEP,6,2,280,SANDMAN brings sleep to villages. Consent is handled informally.,64
98,krabby,Krabby,CRAB,CRAB,6,2,280,CRAB loses claws in fights and grows them back with the same attitude.,70
99,kingler,Kingler,KINGCRAB,CRAB,6,2,280,KINGCRAB rules the tide pools. The tide has not acknowledged this.,66
100,voltorb,Voltorb,FUSE,BOOM,6,2,280,FUSE explodes under pressure. Trainers call this personality.,61
101,electrode,Electrode,BLAST,BOOM,6,2,280,BLAST is found near craters. Interviews are brief. Survivors are not.,69
102,exeggcute,Exeggcute,EGG,EGG,6,2,280,EGG travels in groups for safety. The group is still eggs.,58
103,exeggutor,Exeggutor,PALMTREE,EGG,6,2,280,PALMTREE looks relaxed because its problems happen to smaller things.,69
104,cubone,Cubone,ORPHAN,GRIM,6,2,280,ORPHAN carries a bone it refuses to explain. The moon makes it worse.,69
105,marowak,Marowak,REAPER,GRIM,6,2,280,REAPER appears where battles ended badly. It is never early.,60
106,hitmonlee,Hitmonlee,MASTER,KARATE,6,2,280,"MASTER teaches discipline through silence, posture, and judging everyone.",73
107,hitmonchan,Hitmonchan,CHAMP,BOXING,6,2,280,CHAMP trains until failure. Then it trains witnesses. Neither group recovers.,77
108,lickitung,Lickitung,GLUTTON,TASTE,6,2,280,GLUTTON eats anything placed nearby. Nearby keeps expanding.,60
109,koffing,Koffing,SMOG,POISON,6,2,280,SMOG gathers over factories and awkward family reunions.,56
110,weezing,Weezing,HAZE,POISON,6,2,280,HAZE obscures vision and responsibility. Two heads argue about which failed.,76
111,rhyhorn,Rhyhorn,CALF,BEAST,6,2,280,CALF charges when startled. It is startled by most developments.,64
112,rhydon,Rhydon,RHINO,BEAST,6,2,280,RHINO runs in straight lines. Cities were not designed by RHINO.,64
113,chansey,Chansey,HEALER,HEAL,6,2,280,HEALER comforts the injured. It has questions about how they keep arriving.,75
114,tangela,Tangela,JUNGLE,VINE,6,2,280,JUNGLE disappears into tall grass. The grass seems complicit.,61
115,kangaskhan,Kangaskhan,MATRON,MOM,6,2,280,MATRON protects the young with alarming efficiency. Daycare costs are not discussed.,84
116,horsea,Horsea,SEAHORSE,SEA,6,2,280,SEAHORSE spits water with perfect aim and poor judgment.,56
117,seadra,Seadra,TRITON,SEA,6,2,280,TRITON drifts through coral ruins as if looking for someone late.,65
118,goldeen,Goldeen,GUPPY,KOI,6,2,280,GUPPY forgets danger quickly. The ocean depends on this.,56
119,seaking,Seaking,FISHY,KOI,6,2,280,FISHY flops on land with confidence it has not earned. Water forgives it anyway.,80
120,staryu,Staryu,STAR,STAR,6,2,280,STAR loses limbs and grows them back. It treats this as routine maintenance.,76
121,starmie,Starmie,NOVA,STAR,6,2,280,NOVA glows brighter when injured. Doctors find this unhelpful.,62
122,mr_mime,Mr. Mime,CLOWN,CIRCUS,6,2,280,CLOWN entertains crowds by accident more often than design.,59
123,scyther,Scyther,SAMURIA,SAMURAI,6,2,280,SAMURIA trains by waterfalls. The waterfalls remain undefeated.,63
124,jynx,Jynx,SIREN,SIREN,6,2,280,SIREN lures sailors with song. The lyrics are mostly complaints.,64
125,electabuzz,Electabuzz,SURGE,VOLT,6,2,280,SURGE stores heat in its body. Handshakes are discouraged.,58
126,magmar,Magmar,DEMON,HELL,6,2,280,DEMON appears when anger becomes a lifestyle. Insurance does not cover the fire.,80
127,pinsir,Pinsir,HERCULES,BEETLE,6,2,280,HERCULES lifts objects far heavier than its sense of proportion.,64
128,tauros,Tauros,MINOTAUR,BULL,6,2,280,MINOTAUR charges anything red. It has expanded the definition.,62
129,magikarp,Magikarp,MINNOW,FISH,6,2,280,"MINNOW is small, fast, and constantly chosen first by predators.",64
130,gyarados,Gyarados,LEVIATHAN,FISH,6,2,280,LEVIATHAN sinks ships without malice. Some creatures are just large.,68
131,lapras,Lapras,LOCHNESS,WANDER,6,2,280,LOCHNESS is rarely seen clearly. This has improved its reputation.,66
132,ditto,Ditto,MIMIC,MIMIC,6,2,280,MIMIC copies anything nearby. Originality filed a complaint.,60
133,eevee,Eevee,BRYAN,EVOLVE,6,2,280,BRYAN changes shape to survive. Nobody agrees on the original.,62
134,vaporeon,Vaporeon,TIDAL,EVOLVE,6,2,280,TIDAL appears after storms and leaves before cleanup. Deadlines remain underwater.,82
135,jolteon,Jolteon,VOLT,EVOLVE,6,2,280,VOLT vibrates with stored power. Furniture slowly migrates away.,64
136,flareon,Flareon,FLARE,EVOLVE,6,2,280,FLARE burns hotter when ignored. This is also true socially.,60
137,porygon,Porygon,GLITCH,DATA,6,2,280,"GLITCH should not exist. It appears anyway, usually in the record books.",72
138,omanyte,Omanyte,FOSSIL,FOSSIL,6,2,280,FOSSIL was revived from stone. It has not adjusted to meetings.,63
139,omastar,Omastar,PALEOZOIC,FOSSIL,6,2,280,PALEOZOIC remembers ancient seas. Modern aquariums disappoint it.,65
140,kabuto,Kabuto,SHELL,BONE,6,2,280,SHELL survived extinction by waiting. The strategy still appeals to it.,71
141,kabutops,Kabutops,BLADE,BONE,6,2,280,BLADE cuts through prey and most attempts at friendship.,56
142,aerodactyl,Aerodactyl,PTEROSAUR,SKY,6,2,280,PTEROSAUR screams from cliffs before diving. The warning is traditional.,72
143,snorlax,Snorlax,GLOUT,FEAST,6,2,280,GLOUT sleeps on narrow ledges. Visitors are advised to speak softly.,68
144,articuno,Articuno,GLACIER,FROST,6,2,280,GLACIER stays calm under pressure because pressure moves slowly.,64
145,zapdos,Zapdos,STORM,THUNDER,6,2,280,STORM gathers when the air turns strange and the sensible creatures leave.,74
146,moltres,Moltres,INFERNO,FIRE,6,2,280,INFERNO roars only when necessary. Necessity is frequent.,57
147,dratini,Dratini,WORM,DRAGON,6,2,280,WORM is small now. The older ones are found in legends and basements.,69
148,dragonair,Dragonair,SERPENT,DRAGON,6,2,280,SERPENT circles islands for reasons maps refuse to mark.,56
149,dragonite,Dragonite,WYVERN,DRAGON,6,2,280,WYVERN rescues the lost when convenient. Gratitude is expected immediately.,75
150,mewtwo,Mewtwo,CLONE,LAB,6,2,280,CLONE was made to surpass nature. It surpassed supervision first.,65
151,mew,Mew,ENIGMA,SECRET,6,2,280,ENIGMA appears in old photos that families stop discussing.,59
